id,license_number,primary_owner,office_of_application,business_name,business_address,county,census_tract,licensee,license_type_status,status_date,original_issue_date,expiration_date,duplicate,conditions,operating_restrictions,disciplinary_action,disciplinary_history,holds,escrows,from_license_number,transferred_on,to_license_number,transferred_on2,place_name,website,types,business_status,fee_code,master,transfers,business_name_secondary,business_address_secondary,phone_number,license_type,primary_name,dba_name,prem_addr_1,prem_addr_2,prem_city,prem_state,prem_zip,yelp_link,yelp_name,yelp_phone,yelp_website,yelp_rating,output_lincense_file_status,yelp_file_status
113,361320,J PAR INC,10 - SAN DIEGO,BLUE AGAVE NIGHTCLUB,6608 MISSION GORGE RD   SAN DIEGO  CA  92120,SAN DIEGO,95.09,J PAR INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Blue Agave Night Club,,  night_club |   bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,BLUE AGAVE NIGHTCLUB,6608 MISSION GORGE RD   SAN DIEGO  CA  92120,+1 619-521-3194,48 - ON-SALE GENERAL PUBLIC PREMISES,J PAR INC,BLUE AGAVE NIGHTCLUB,6608 MISSION GORGE RD,,SAN DIEGO,CA,92120,,,,,,True,True
114,305347,KOROYAN  ARTHUR,21 - FRESNO,GEORGES BAR & GRILL,6680 N BLACKSTONE AVE   FRESNO  CA  93710,FRESNO,45.04,KOROYAN  ARTHUR,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-224960,,N/A,,George's Bar & Grill,https://georgesbarandgrill.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,GEORGES BAR & GRILL,6680 N BLACKSTONE AVE   FRESNO  CA  93710,+1 559-436-1654,47 - ON-SALE GENERAL EATING PLACE,KOROYAN  ARTHUR,GEORGES BAR & GRILL,6680 N BLACKSTONE AVE,,FRESNO,CA,93710,https://www.yelp.nl/biz/burger-king-fresno-15,Burger King,(559) 492-2985,https://burgerking.com,1.1,True,True
115,460770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
116,111763,LOBUE  LAWRENCE M,25 - SAN JOSE,SANTA TERESA GOLF CLUB,260 BERNAL RD   SAN JOSE  CA  95119,SANTA CLARA,5119.11,MCENERY  JOHN P III| LOBUE  VICTOR J JR| RAWITSER  MICHAEL| STAEDLER  RUDY| LOBUE  LAWRENCE M,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Santa Teresa Golf Club,http://www.santateresagolf.com/,  point_of_interest |   establishment,OPERATIONAL,P0,Y,1,SANTA TERESA GOLF CLUB,260 BERNAL RD   SAN JOSE  CA  95119,+1 408-225-2650,47 - ON-SALE GENERAL EATING PLACE,LOBUE  LAWRENCE M,SANTA TERESA GOLF CLUB,260 BERNAL RD,,SAN JOSE,CA,95119,https://www.yelp.nl/biz/santa-teresa-golf-club-san-jose-5?osq=SANTA+TERESA+GOLF+CLUB,Santa Teresa Golf Club,(408) 225-2650,https://santateresagolf.com,3.1,True,True
117,434270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
118,421031,GLENEAGLES GOLF PARTNERS L-PSHIP,24 - SAN FRANCISCO,GLENEAGLES GC AT MCLAREN PARK,2100 SUNNYDALE AVE   SAN FRANCISCO  CA  94134,SAN FRANCISCO,9805.01,GLENEAGLES GOLF PARTNERS L-PSHIP,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-123471,,N/A,,Gleneagles GC at McLaren Park,http://www.gleneaglesgolfsf.com/,  point_of_interest |   establishment,OPERATIONAL,P40,Y,1,GLENEAGLES GC AT MCLAREN PARK,2100 SUNNYDALE AVE   SAN FRANCISCO  CA  94134,+1 415-587-2425,47 - ON-SALE GENERAL EATING PLACE,GLENEAGLES GOLF PARTNERS L-PSHIP,GLENEAGLES GC AT MCLAREN PARK,2100 SUNNYDALE AVE,,SAN FRANCISCO,CA,94134-2614,,,,,,True,True
119,151565,ELIOPOULOS  GUS,22 - CONCORD,ELIOS L RESTAURANT,260 FLORESTA BLVD   SAN LEANDRO  CA  94578,ALAMEDA,4332.00,ELIOPOULOS  GUS| ELIOPOULOS  LEFTY,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Elios Family Restaurant,http://eliosdining.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,ELIOS L RESTAURANT,260 FLORESTA BLVD   SAN LEANDRO  CA  94578,+1 510-351-0463,47 - ON-SALE GENERAL EATING PLACE,ELIOPOULOS  GUS,ELIOS L RESTAURANT,260 FLORESTA BLVD,,SAN LEANDRO,CA,94578,,,,,,True,True
120,386741,GOLDEN STATE CONCESSIONS AND CATERING INC,07 - RIVERSIDE,LAKE ELSINORE DIAMOND,500 DIAMOND DR   LAKE ELSINORE  CA  92530,RIVERSIDE,430.01,GOLDEN STATE CONCESSIONS AND CATERING INC,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-351888,,N/A,,Diamond Stadium of Lake Elsinore,https://www.milb.com/lake-elsinore,  stadium |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,LAKE ELSINORE DIAMOND,500 DIAMOND DR   LAKE ELSINORE  CA  92530,+1 951-245-4487,47 - ON-SALE GENERAL EATING PLACE,GOLDEN STATE CONCESSIONS AND CATERING INC,LAKE ELSINORE DIAMOND,500 DIAMOND DR,,LAKE ELSINORE,CA,92530-4457,https://www.yelp.nl/biz/lake-elsinore-storm-lake-elsinore-2?osq=LAKE+ELSINORE+DIAMOND,Lake Elsinore Storm,(951) 245-4487,https://stormbaseball.com,3.9,True,True
121,473085,DIVISADERO 500 LLC,24 - SAN FRANCISCO,MADRONE ART BAR,500 DIVISADERO ST   SAN FRANCISCO  CA  94117,SAN FRANCISCO,164.00,DIVISADERO 500 LLC,ACTIVE,,,,,N/A,Except as provided in Condition #2 below  no noise shall be audible beyond the area under the control of the licensee  as depicted on the most recently certified ABC-257. Any noise caused by entertainment or amplified sound that is subject to the provisions of an active Entertainment Permit issued by the San Francisco Entertainment Commission shall be authorized in accordance with the limits established by that Entertainment Permit  including any limitation on hours during which entertainment or amplified sound is permitted. A violation of the entertainment or amplified sound noise conditions of the Entertainment Permit  as determined by the San Francisco Entertainment Commission (or any successor agency)  shall be deemed to be a violation of this Condition. Any noise that is not subject to  or is beyond the scope of  the Entertainment Permit shall be subject to Condition #1 above. �Entertainment Permit� means any of the following: a Just Add Music permit  a Limited Live Performance permit  a Place of Entertainment permit  a Fixed Place Amplified Sound permit  or any similar such permit issued by the San Francisco Entertainment Commission. When there is live entertainment  the petitioner(s) shall provide security personnel after 9:00 p.m. on Fridays and Saturdays.  Said personnel shall maintain order therein; and prevent any activity that would interfere with the quiet enjoyment of their property by nearby residents.  Said personnel shall be clothed in such a manner as to be readily identifiable as security.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,48-401324,,N/A,,Madrone Art Bar,http://www.madroneartbar.com/,  bar |   night_club |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,MADRONE ART BAR,500 DIVISADERO ST   SAN FRANCISCO  CA  94117,+1 415-241-0202,48 - ON-SALE GENERAL PUBLIC PREMISES,DIVISADERO 500 LLC,MADRONE ART BAR,500 DIVISADERO ST,,SAN FRANCISCO,CA,94117-2213,https://www.yelp.nl/biz/madrone-art-bar-san-francisco?osq=MADRONE+ART+BAR,Madrone Art Bar,(415) 241-0202,https://madroneartbar.com,3.6,True,True
122,120063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
123,408401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
124,457298,DERBY RESTAURANT ARCADIA INC,02 - MONROVIA,DERBY RESTAURANT,233 E HUNTINGTON DR   ARCADIA  CA  91006,LOS ANGELES,4308.01,DERBY RESTAURANT ARCADIA INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-252109,,N/A,,The Derby,https://www.thederbyarcadia.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,DERBY RESTAURANT,233 E HUNTINGTON DR   ARCADIA  CA  91006,+1 626-447-2430,47 - ON-SALE GENERAL EATING PLACE,DERBY RESTAURANT ARCADIA INC,DERBY RESTAURANT,233 E HUNTINGTON DR,,ARCADIA,CA,91006-3745,https://www.yelp.nl/biz/the-derby-arcadia?osq=DERBY+RESTAURANT,The Derby,(626) 631-2516,https://thederbyarcadia.com,4.3,True,True
125,322889,CAPO L-PSHIP,03 - LB/LAKEWOOD,CAPO,1810 OCEAN AVE   SANTA MONICA  CA  90401,LOS ANGELES,7019.02,CAPO L-PSHIP,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-271111,,N/A,,Capo,http://www.caporestaurant.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CAPO,1810 OCEAN AVE   SANTA MONICA  CA  90401,+1 310-394-5550,47 - ON-SALE GENERAL EATING PLACE,CAPO L-PSHIP,CAPO,1810 OCEAN AVE,,SANTA MONICA,CA,90401,https://www.yelp.nl/biz/capo-santa-monica?osq=CAPO,Capo,(310) 394-5550,https://caporestaurant.com,3.9,True,True
126,340125,THREE GROUP INC,04 - LA/METRO,CRAZY GIRLS,1433 N LA BREA AVE   LOS ANGELES  CA  90028,LOS ANGELES,1899.06,THREE GROUP INC,DEPARTMENT REVOKED,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        21091400        Section:CCR 4  1  143.2(3)/ CCR 143.3(1)(A)(C)Section:PC 647(B)Section:23804Section:CCR 4  1  143Section:HSC 11350Section:11362.3(A)(1)             Proceeding Status:            CLOSED                    Decision:            REVOKED                        Suspension Start Date:            26-SEP-2024,No Active Holds found,No Escrow found,48-176017,,N/A,,Crazy Girls,https://crazygirlshollywood.club/,  night_club |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CRAZY GIRLS,1433 N LA BREA AVE   LOS ANGELES  CA  90028,+1 818-441-2869,48 - ON-SALE GENERAL PUBLIC PREMISES,THREE GROUP INC,CRAZY GIRLS,1433 N LA BREA AVE,,LOS ANGELES,CA,90028,https://www.yelp.nl/biz/crazy-girls-los-angeles-3?osq=CRAZY+GIRLS,Crazy Girls,(213) 687-4244,https://crazygirlshollywood.club,3.6,True,True
127,480103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
128,465565,CARRANCO  JOSE E,27 - SANTA ROSA,LAGUNA,15204 LAKESHORE DR # 3  CLEARLAKE  CA  95422,LAKE,8.02,DECARRANCO  ARCELIA RINCON| CARRANCO  JOSE E,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,Reg. Number:        10072406        Section:23402Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            15,No Active Holds found,No Escrow found,47-370703,,N/A,,15204 Lakeshore Dr #3,,  subpremise,,P0,Y,1,LAGUNA,15204 LAKESHORE DR # 3  CLEARLAKE  CA  95422,,47 - ON-SALE GENERAL EATING PLACE,CARRANCO  JOSE E,LAGUNA,15204 LAKESHORE DR,# 3,CLEARLAKE,CA,95422-8107,https://www.yelp.nl/biz/pine-dell-resort-and-store-clearlake?osq=LAGUNA,Pine Dell Resort & Store,(707) 994-2227,https://pinedellrvpark.com,3.8,True,True
129,376502,GLOBAL INVESTMENTS & INTERNATIONAL HOLDING LLC,02 - MONROVIA,MONTANAS,657 W ARROW HWY   SAN DIMAS  CA  91773,LOS ANGELES,4013.11,GLOBAL INVESTMENTS & INTERNATIONAL HOLDING LLC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,48-212512,,N/A,,Montana's,http://www.montanas-countrynightclub.com/,  night_club |   bar |   point_of_interest |   establishment,OPERATIONAL,P20,Y,1,MONTANAS,657 W ARROW HWY   SAN DIMAS  CA  91773,+1 909-592-2211,48 - ON-SALE GENERAL PUBLIC PREMISES,GLOBAL INVESTMENTS & INTERNATIONAL HOLDING LLC,MONTANAS,657 W ARROW HWY,,SAN DIMAS,CA,91773,https://www.yelp.nl/biz/montanas-country-night-club-san-dimas?osq=MONTANAS,Montana's Country Night Club,(909) 592-2211,https://montanas-countrynightclub.com,3.1,True,True
130,270920,MASADA  JAMIE CHAIM,04 - LA/METRO,LAUGH FACTORY,8001 W SUNSET BLVD   WEST HOLLYWOOD  CA  90046,LOS ANGELES,1898.01,MASADA  JAMIE CHAIM,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Laugh Factory,http://www.laughfactory.com/,  bar |   night_club |   point_of_interest |   establishment,OPERATIONAL,P20,Y,1,LAUGH FACTORY,8001 W SUNSET BLVD   WEST HOLLYWOOD  CA  90046,+1 323-656-1336,47 - ON-SALE GENERAL EATING PLACE,MASADA  JAMIE CHAIM,LAUGH FACTORY,8001 W SUNSET BLVD,,WEST HOLLYWOOD,CA,90046,https://www.yelp.nl/biz/chocolate-sundaes-comedy-show-west-hollywood?osq=LAUGH+FACTORY,Chocolate Sundaes Comedy Show,(424) 248-9325,https://chocolatesundaes.com,4.3,True,True
131,282417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
132,60586,HASSAL INC,04 - LA/METRO,FUBAR,7994 SANTA MONICA BLVD   WEST HOLLYWOOD  CA  90046,LOS ANGELES,7002.00,HASSAL INC,AUTO REVOKED,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    FRANCHISE TAX HOLD                    Hold Date:                    25-JAN-2008                                        Hold Type:                    BOARD OF EQUALIZATION HOLD                    Hold Date:                    12-APR-2018,No Escrow found,N/A,,48-607888,,Fubar,,  bar |   point_of_interest |   establishment,CLOSED_PERMANENTLY,P20,Y,1,FUBAR,7994 SANTA MONICA BLVD   WEST HOLLYWOOD  CA  90046,+1 323-654-0396,48 - ON-SALE GENERAL PUBLIC PREMISES,HASSAL INC,FUBAR,7994 SANTA MONICA BLVD,,WEST HOLLYWOOD,CA,90046-5109,,,,,,True,True
133,111923,MARTINEZ  RUTH,29 - LODI,EL RANCHITO INC,3048 ATCHISON ST   RIVERBANK  CA  95367,STANISLAUS,3.01,TINAJERO  ANA| TINAJERO  GEORGE| MARTINEZ  RUTH| TINAJERO  CARLOS,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,El Ranchito,,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P20,Y,1,EL RANCHITO INC,3048 ATCHISON ST   RIVERBANK  CA  95367,+1 209-869-0196,47 - ON-SALE GENERAL EATING PLACE,MARTINEZ  RUTH,EL RANCHITO INC,3048 ATCHISON ST,,RIVERBANK,CA,95367,,,,,,True,True
134,442329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
135,253112,MIAO  HSIAO YEN,21 - FRESNO,FU HAI RESTAURANT,1704 E BELMONT AVE   FRESNO  CA  93701,FRESNO,6.02,MIAO  TIEN YUNG| MIAO  HSIAO YEN,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,Reg. Number:        98042305        Section:23402Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            SUSPEND                        Suspension Days:            10                        Stayed Days:            0                        Suspension Start Date:            17-FEB-1998                        Suspension End Date:            26-FEB-1998,No Active Holds found,No Escrow found,N/A,,48-631842,,Fu Hai Restaurant,,  restaurant |   food |   point_of_interest |   establishment,CLOSED_PERMANENTLY,P40,Y,1,FU HAI RESTAURANT,1704 E BELMONT AVE   FRESNO  CA  93701,+1 559-233-7797,47 - ON-SALE GENERAL EATING PLACE,MIAO  HSIAO YEN,FU HAI RESTAURANT,1704 E BELMONT AVE,,FRESNO,CA,93701,https://www.yelp.nl/biz/fu-hai-restaurant-fresno?osq=FU+HAI+RESTAURANT,Fu Hai Restaurant,(559) 233-7797,not url,Restaurants,True,True
136,397085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
137,400007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
