id,license_number,primary_owner,office_of_application,business_name,business_address,county,census_tract,licensee,license_type_status,status_date,original_issue_date,expiration_date,duplicate,conditions,operating_restrictions,disciplinary_action,disciplinary_history,holds,escrows,from_license_number,transferred_on,to_license_number,transferred_on2,place_name,website,types,business_status,fee_code,master,transfers,business_name_secondary,business_address_secondary,phone_number,yelp_link,yelp_name,yelp_phone,yelp_website,yelp_rating,entity_num,file_number,physical_address1,physical_address2,physical_address3,physical_city,physical_state,physical_country,physical_postal_code,agent_type,license_type,lic_or_app,type_status,type_orig_iss_date,expir_date,fee_codes,dup_counts,master_ind,term_in_number_of_months,geo_code,district,primary_name,prem_addr_1,prem_addr_2,prem_city,prem_state,prem_zip,dba_name,mail_addr_1,mail_addr_2,mail_city,mail_state,mail_zip,prem_county,prem_census_tract,initial_filing_date,jurisdiction,entity_status,standing_sos,entity_type,filing_type,foreign_name,standing_ftb,standing_vcfcf,standing_agent,suspension_date,last_si_file_number,last_si_file_date,llc_management_structure,type_of_business,entity_name,org_name,first_name,middle_name,last_name,address1,address2,address3,city,state,country,postal_code,position_1,position_2,position_3,position_4,position_5,position_6,position_7,output_lincense_file_status,yelp_file_status,agent_file_status,principal_file_status,filling_file_status,business_License_field_status,combine_information_filed_status
11813,361320,J PAR INC,10 - SAN DIEGO,BLUE AGAVE NIGHTCLUB,6608 MISSION GORGE RD   SAN DIEGO  CA  92120,SAN DIEGO,95.09,J PAR INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Blue Agave Night Club,,  night_club |   bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,BLUE AGAVE NIGHTCLUB,6608 MISSION GORGE RD   SAN DIEGO  CA  92120,+1 619-521-3194,,,,,,,,,,,,,,,,48 - ON-SALE GENERAL PUBLIC PREMISES,,,,,,,,,,,J PAR INC,6608 MISSION GORGE RD,,SAN DIEGO,CA,92120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11814,305347,KOROYAN  ARTHUR,21 - FRESNO,GEORGES BAR & GRILL,6680 N BLACKSTONE AVE   FRESNO  CA  93710,FRESNO,45.04,KOROYAN  ARTHUR,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,George's Bar & Grill,https://georgesbarandgrill.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,GEORGES BAR & GRILL,6680 N BLACKSTONE AVE   FRESNO  CA  93710,+1 559-436-1654,https://www.yelp.nl/biz/burger-king-fresno-15,,(559) 492-2985,https://burgerking.com,1.1,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,KOROYAN  ARTHUR,6680 N BLACKSTONE AVE,,FRESNO,CA,93710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11815,460770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201731010254,,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Individual Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,JORDAN A NEDEFF,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Manager,-,-,-,-,-,-,False,False,True,True,False,True,True
11816,111763,LOBUE  LAWRENCE M,25 - SAN JOSE,SANTA TERESA GOLF CLUB,260 BERNAL RD   SAN JOSE  CA  95119,SANTA CLARA,5119.11,MCENERY  JOHN P III| LOBUE  VICTOR J JR| RAWITSER  MICHAEL| STAEDLER  RUDY| LOBUE  LAWRENCE M,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Santa Teresa Golf Club,http://www.santateresagolf.com/,  point_of_interest |   establishment,OPERATIONAL,P0,Y,1,SANTA TERESA GOLF CLUB,260 BERNAL RD   SAN JOSE  CA  95119,+1 408-225-2650,https://www.yelp.nl/biz/santa-teresa-golf-club-san-jose-5?osq=SANTA+TERESA+GOLF+CLUB,,(408) 225-2650,https://santateresagolf.com,3.1,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,LOBUE  LAWRENCE M,260 BERNAL RD,,SAN JOSE,CA,95119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11817,434270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201731010254,,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Individual Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,JORDAN A NEDEFF,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Manager,-,-,-,-,-,-,False,False,True,True,False,True,True
11818,421031,GLENEAGLES GOLF PARTNERS L-PSHIP,24 - SAN FRANCISCO,GLENEAGLES GC AT MCLAREN PARK,2100 SUNNYDALE AVE   SAN FRANCISCO  CA  94134,SAN FRANCISCO,9805.01,GLENEAGLES GOLF PARTNERS L-PSHIP,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Gleneagles GC at McLaren Park,http://www.gleneaglesgolfsf.com/,  point_of_interest |   establishment,OPERATIONAL,P40,Y,1,GLENEAGLES GC AT MCLAREN PARK,2100 SUNNYDALE AVE   SAN FRANCISCO  CA  94134,+1 415-587-2425,,,,,,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,GLENEAGLES GOLF PARTNERS L-PSHIP,2100 SUNNYDALE AVE,,SAN FRANCISCO,CA,94134-2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11819,151565,ELIOPOULOS  GUS,22 - CONCORD,ELIOS L RESTAURANT,260 FLORESTA BLVD   SAN LEANDRO  CA  94578,ALAMEDA,4332.00,ELIOPOULOS  GUS| ELIOPOULOS  LEFTY,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Elios Family Restaurant,http://eliosdining.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,ELIOS L RESTAURANT,260 FLORESTA BLVD   SAN LEANDRO  CA  94578,+1 510-351-0463,,,,,,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,ELIOPOULOS  GUS,260 FLORESTA BLVD,,SAN LEANDRO,CA,94578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11820,386741,GOLDEN STATE CONCESSIONS AND CATERING INC,07 - RIVERSIDE,LAKE ELSINORE DIAMOND,500 DIAMOND DR   LAKE ELSINORE  CA  92530,RIVERSIDE,430.01,GOLDEN STATE CONCESSIONS AND CATERING INC,ACTIVE,,,,,23824 CITY/COUNTY OWNED PROPERTY  PERS-PERS ONLY,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Diamond Stadium of Lake Elsinore,https://www.milb.com/lake-elsinore,  stadium |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,LAKE ELSINORE DIAMOND,500 DIAMOND DR   LAKE ELSINORE  CA  92530,+1 951-245-4487,https://www.yelp.nl/biz/lake-elsinore-storm-lake-elsinore-2?osq=LAKE+ELSINORE+DIAMOND,,(951) 245-4487,https://stormbaseball.com,3.9,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,GOLDEN STATE CONCESSIONS AND CATERING INC,500 DIAMOND DR,,LAKE ELSINORE,CA,92530-4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11821,473085,DIVISADERO 500 LLC,24 - SAN FRANCISCO,MADRONE ART BAR,500 DIVISADERO ST   SAN FRANCISCO  CA  94117,SAN FRANCISCO,164.00,DIVISADERO 500 LLC,ACTIVE,,,,,N/A,Except as provided in Condition #2 below  no noise shall be audible beyond the area under the control of the licensee  as depicted on the most recently certified ABC-257. Any noise caused by entertainment or amplified sound that is subject to the provisions of an active Entertainment Permit issued by the San Francisco Entertainment Commission shall be authorized in accordance with the limits established by that Entertainment Permit  including any limitation on hours during which entertainment or amplified sound is permitted. A violation of the entertainment or amplified sound noise conditions of the Entertainment Permit  as determined by the San Francisco Entertainment Commission (or any successor agency)  shall be deemed to be a violation of this Condition. Any noise that is not subject to  or is beyond the scope of  the Entertainment Permit shall be subject to Condition #1 above. �Entertainment Permit� means any of the following: a Just Add Music permit  a Limited Live Performance permit  a Place of Entertainment permit  a Fixed Place Amplified Sound permit  or any similar such permit issued by the San Francisco Entertainment Commission. When there is live entertainment  the petitioner(s) shall provide security personnel after 9:00 p.m. on Fridays and Saturdays.  Said personnel shall maintain order therein; and prevent any activity that would interfere with the quiet enjoyment of their property by nearby residents.  Said personnel shall be clothed in such a manner as to be readily identifiable as security.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Madrone Art Bar,http://www.madroneartbar.com/,  bar |   night_club |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,MADRONE ART BAR,500 DIVISADERO ST   SAN FRANCISCO  CA  94117,+1 415-241-0202,https://www.yelp.nl/biz/madrone-art-bar-san-francisco?osq=MADRONE+ART+BAR,,(415) 241-0202,https://madroneartbar.com,3.6,200825410134,,502 DIVISADERO STREET,,,SAN FRANCISCO,CA,United States,94117,Individual Agent,48 - ON-SALE GENERAL PUBLIC PREMISES,,,,,,,,,,,DIVISADERO 500 LLC,500 DIVISADERO ST,,SAN FRANCISCO,CA,94117-2213,,,,,,,,,,,,,,,,,,,,,,,,,,Michael,JOSEPH,Krouse,502 Divisadero Street,,,San Francisco,CA,United States,94117,Manager,Chief Executive Officer,-,-,-,-,-,True,True,True,True,False,True,True
11822,120063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201731010254,,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Individual Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,JORDAN A NEDEFF,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Manager,-,-,-,-,-,-,False,False,True,True,False,True,True
11823,408401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201731010254,,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Individual Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,JORDAN A NEDEFF,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Manager,-,-,-,-,-,-,False,False,True,True,False,True,True
11824,457298,DERBY RESTAURANT ARCADIA INC,02 - MONROVIA,DERBY RESTAURANT,233 E HUNTINGTON DR   ARCADIA  CA  91006,LOS ANGELES,4308.01,DERBY RESTAURANT ARCADIA INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,The Derby,https://www.thederbyarcadia.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,DERBY RESTAURANT,233 E HUNTINGTON DR   ARCADIA  CA  91006,+1 626-447-2430,https://www.yelp.nl/biz/the-derby-arcadia?osq=DERBY+RESTAURANT,,(626) 631-2516,https://thederbyarcadia.com,4.3,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,DERBY RESTAURANT ARCADIA INC,233 E HUNTINGTON DR,,ARCADIA,CA,91006-3745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11825,322889,CAPO L-PSHIP,03 - LB/LAKEWOOD,CAPO,1810 OCEAN AVE   SANTA MONICA  CA  90401,LOS ANGELES,7019.02,CAPO L-PSHIP,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Capo,http://www.caporestaurant.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CAPO,1810 OCEAN AVE   SANTA MONICA  CA  90401,+1 310-394-5550,https://www.yelp.nl/biz/capo-santa-monica?osq=CAPO,,(310) 394-5550,https://caporestaurant.com,3.9,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,CAPO L-PSHIP,1810 OCEAN AVE,,SANTA MONICA,CA,90401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11826,340125,THREE GROUP INC,04 - LA/METRO,CRAZY GIRLS,1433 N LA BREA AVE   LOS ANGELES  CA  90028,LOS ANGELES,1899.06,THREE GROUP INC,DEPARTMENT REVOKED,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        21091400        Section:CCR 4  1  143.2(3)/ CCR 143.3(1)(A)(C)Section:PC 647(B)Section:23804Section:CCR 4  1  143Section:HSC 11350Section:11362.3(A)(1)             Proceeding Status:            CLOSED                    Decision:            REVOKED                        Suspension Start Date:            26-SEP-2024,No Active Holds found,No Escrow found,,,N/A,,Crazy Girls,https://crazygirlshollywood.club/,  night_club |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CRAZY GIRLS,1433 N LA BREA AVE   LOS ANGELES  CA  90028,+1 818-441-2869,https://www.yelp.nl/biz/crazy-girls-los-angeles-3?osq=CRAZY+GIRLS,,(213) 687-4244,https://crazygirlshollywood.club,3.6,,,,,,,,,,,48 - ON-SALE GENERAL PUBLIC PREMISES,,,,,,,,,,,THREE GROUP INC,1433 N LA BREA AVE,,LOS ANGELES,CA,90028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11827,480103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201731010254,,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Individual Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,JORDAN A NEDEFF,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Manager,-,-,-,-,-,-,False,False,True,True,False,True,True
